# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
	👩🏽‍❤️‍👨🏽;couple with heart: woman, man, medium skin tone;couple|couple with heart|couple with heart: woman, man, medium skin tone|love|man|medium skin tone|woman
	👩🏽‍❤️‍👨🏾;couple with heart: woman, man, medium skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, man, medium skin tone, medium-dark skin tone|love|man|medium skin tone|medium-dark skin tone|woman
	👩🏽‍❤️‍👨🏿;couple with heart: woman, man, medium skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, man, medium skin tone, dark skin tone|dark skin tone|love|man|medium skin tone|woman
	👩🏾‍❤️‍👨🏻;couple with heart: woman, man, medium-dark skin tone, light skin tone;couple|couple with heart|couple with heart: woman, man, medium-dark skin tone, light skin tone|light skin tone|love|man|medium-dark skin tone|woman
	👩🏾‍❤️‍👨🏼;couple with heart: woman, man, medium-dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, man, medium-dark skin tone, medium-light skin tone|love|man|medium-dark skin tone|medium-light skin tone|woman
	👩🏾‍❤️‍👨🏽;couple with heart: woman, man, medium-dark skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, man, medium-dark skin tone, medium skin tone|love|man|medium skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍👨🏾;couple with heart: woman, man, medium-dark skin tone;couple|couple with heart|couple with heart: woman, man, medium-dark skin tone|love|man|medium-dark skin tone|woman
	👩🏾‍❤️‍👨🏿;couple with heart: woman, man, medium-dark skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, man, medium-dark skin tone, dark skin tone|dark skin tone|love|man|medium-dark skin tone|woman
	👩🏿‍❤️‍👨🏻;couple with heart: woman, man, dark skin tone, light skin tone;couple|couple with heart|couple with heart: woman, man, dark skin tone, light skin tone|dark skin tone|light skin tone|love|man|woman
	👩🏿‍❤️‍👨🏼;couple with heart: woman, man, dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, man, dark skin tone, medium-light skin tone|dark skin tone|love|man|medium-light skin tone|woman
	👩🏿‍❤️‍👨🏽;couple with heart: woman, man, dark skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, man, dark skin tone, medium skin tone|dark skin tone|love|man|medium skin tone|woman
	👩🏿‍❤️‍👨🏾;couple with heart: woman, man, dark skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, man, dark skin tone, medium-dark skin tone|dark skin tone|love|man|medium-dark skin tone|woman
	👩🏿‍❤️‍👨🏿;couple with heart: woman, man, dark skin tone;couple|couple with heart|couple with heart: woman, man, dark skin tone|dark skin tone|love|man|woman
👨‍❤️‍👨;couple with heart: man, man;couple|couple with heart|couple with heart: man, man|love|man
	👨🏻‍❤️‍👨🏻;couple with heart: man, man, light skin tone;couple|couple with heart|couple with heart: man, man, light skin tone|light skin tone|love|man
	👨🏻‍❤️‍👨🏼;couple with heart: man, man, light skin tone, medium-light skin tone;couple|couple with heart|couple with heart: man, man, light skin tone, medium-light skin tone|light skin tone|love|man|medium-light skin tone
	👨🏻‍❤️‍👨🏽;couple with heart: man, man, light skin tone, medium skin tone;couple|couple with heart|couple with heart: man, man, light skin tone, medium skin tone|light skin tone|love|man|medium skin tone
	👨🏻‍❤️‍👨🏾;couple with heart: man, man, light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: man, man, light skin tone, medium-dark skin tone|light skin tone|love|man|medium-dark skin tone
	👨🏻‍❤️‍👨🏿;couple with heart: man, man, light skin tone, dark skin tone;couple|couple with heart|couple with heart: man, man, light skin tone, dark skin tone|dark skin tone|light skin tone|love|man
	👨🏼‍❤️‍👨🏻;couple with heart: man, man, medium-light skin tone, light skin tone;couple|couple with heart|couple with heart: man, man, medium-light skin tone, light skin tone|light skin tone|love|man|medium-light skin tone
	👨🏼‍❤️‍👨🏼;couple with heart: man, man, medium-light skin tone;couple|couple with heart|couple with heart: man, man, medium-light skin tone|love|man|medium-light skin tone
	👨🏼‍❤️‍👨🏽;couple with heart: man, man, medium-light skin tone, medium skin tone;couple|couple with heart|couple with heart: man, man, medium-light skin tone, medium skin tone|love|man|medium skin tone|medium-light skin tone
	👨🏼‍❤️‍👨🏾;couple with heart: man, man, medium-light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: man, man, medium-light skin tone, medium-dark skin tone|love|man|medium-dark skin tone|medium-light skin tone
	👨🏼‍❤️‍👨🏿;couple with heart: man, man, medium-light skin tone, dark skin tone;couple|couple with heart|couple with heart: man, man, medium-light skin tone, dark skin tone|dark skin tone|love|man|medium-light skin tone
	👨🏽‍❤️‍👨🏻;couple with heart: man, man, medium skin tone, light skin tone;couple|couple with heart|couple with heart: man, man, medium skin tone, light skin tone|light skin tone|love|man|medium skin tone
	👨🏽‍❤️‍👨🏼;couple with heart: man, man, medium skin tone, medium-light skin tone;couple|couple with heart|couple with heart: man, man, medium skin tone, medium-light skin tone|love|man|medium skin tone|medium-light skin tone
	👨🏽‍❤️‍👨🏽;couple with heart: man, man, medium skin tone;couple|couple with heart|couple with heart: man, man, medium skin tone|love|man|medium skin tone
	👨🏽‍❤️‍👨🏾;couple with heart: man, man, medium skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: man, man, medium skin tone, medium-dark skin tone|love|man|medium skin tone|medium-dark skin tone
	👨🏽‍❤️‍👨🏿;couple with heart: man, man, medium skin tone, dark skin tone;couple|couple with heart|couple with heart: man, man, medium skin tone, dark skin tone|dark skin tone|love|man|medium skin tone
	👨🏾‍❤️‍👨🏻;couple with heart: man, man, medium-dark skin tone, light skin tone;couple|couple with heart|couple with heart: man, man, medium-dark skin tone, light skin tone|light skin tone|love|man|medium-dark skin tone
	👨🏾‍❤️‍👨🏼;couple with heart: man, man, medium-dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: man, man, medium-dark skin tone, medium-light skin tone|love|man|medium-dark skin tone|medium-light skin tone
	👨🏾‍❤️‍👨🏽;couple with heart: man, man, medium-dark skin tone, medium skin tone;couple|couple with heart|couple with heart: man, man, medium-dark skin tone, medium skin tone|love|man|medium skin tone|medium-dark skin tone
	👨🏾‍❤️‍👨🏾;couple with heart: man, man, medium-dark skin tone;couple|couple with heart|couple with heart: man, man, medium-dark skin tone|love|man|medium-dark skin tone
	👨🏾‍❤️‍👨🏿;couple with heart: man, man, medium-dark skin tone, dark skin tone;couple|couple with heart|couple with heart: man, man, medium-dark skin tone, dark skin tone|dark skin tone|love|man|medium-dark skin tone
	👨🏿‍❤️‍👨🏻;couple with heart: man, man, dark skin tone, light skin tone;couple|couple with heart|couple with heart: man, man, dark skin tone, light skin tone|dark skin tone|light skin tone|love|man
	👨🏿‍❤️‍👨🏼;couple with heart: man, man, dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: man, man, dark skin tone, medium-light skin tone|dark skin tone|love|man|medium-light skin tone
	👨🏿‍❤️‍👨🏽;couple with heart: man, man, dark skin tone, medium skin tone;couple|couple with heart|couple with heart: man, man, dark skin tone, medium skin tone|dark skin tone|love|man|medium skin tone
	👨🏿‍❤️‍👨🏾;couple with heart: man, man, dark skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: man, man, dark skin tone, medium-dark skin tone|dark skin tone|love|man|medium-dark skin tone
	👨🏿‍❤️‍👨🏿;couple with heart: man, man, dark skin tone;couple|couple with heart|couple with heart: man, man, dark skin tone|dark skin tone|love|man
👩‍❤️‍👩;couple with heart: woman, woman;couple|couple with heart|couple with heart: woman, woman|love|woman
	👩🏻‍❤️‍👩🏻;couple with heart: woman, woman, light skin tone;couple|couple with heart|couple with heart: woman, woman, light skin tone|light skin tone|love|woman
	👩🏻‍❤️‍👩🏼;couple with heart: woman, woman, light skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, woman, light skin tone, medium-light skin tone|light skin tone|love|medium-light skin tone|woman
	👩🏻‍❤️‍👩🏽;couple with heart: woman, woman, light skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, woman, light skin tone, medium skin tone|light skin tone|love|medium skin tone|woman
	👩🏻‍❤️‍👩🏾;couple with heart: woman, woman, light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, woman, light skin tone, medium-dark skin tone|light skin tone|love|medium-dark skin tone|woman
	👩🏻‍❤️‍👩🏿;couple with heart: woman, woman, light skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, woman, light skin tone, dark skin tone|dark skin tone|light skin tone|love|woman
	👩🏼‍❤️‍👩🏻;couple with heart: woman, woman, medium-light skin tone, light skin tone;couple|couple with heart|couple with heart: woman, woman, medium-light skin tone, light skin tone|light skin tone|love|medium-light skin tone|woman
	👩🏼‍❤️‍👩🏼;couple with heart: woman, woman, medium-light skin tone;couple|couple with heart|couple with heart: woman, woman, medium-light skin tone|love|medium-light skin tone|woman
	👩🏼‍❤️‍👩🏽;couple with heart: woman, woman, medium-light skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, woman, medium-light skin tone, medium skin tone|love|medium skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍👩🏾;couple with heart: woman, woman, medium-light skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium-light skin tone, medium-dark skin tone|love|medium-dark skin tone|medium-light skin tone|woman
	👩🏼‍❤️‍👩🏿;couple with heart: woman, woman, medium-light skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium-light skin tone, dark skin tone|dark skin tone|love|medium-light skin tone|woman
	👩🏽‍❤️‍👩🏻;couple with heart: woman, woman, medium skin tone, light skin tone;couple|couple with heart|couple with heart: woman, woman, medium skin tone, light skin tone|light skin tone|love|medium skin tone|woman
	👩🏽‍❤️‍👩🏼;couple with heart: woman, woman, medium skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, woman, medium skin tone, medium-light skin tone|love|medium skin tone|medium-light skin tone|woman
	👩🏽‍❤️‍👩🏽;couple with heart: woman, woman, medium skin tone;couple|couple with heart|couple with heart: woman, woman, medium skin tone|love|medium skin tone|woman
	👩🏽‍❤️‍👩🏾;couple with heart: woman, woman, medium skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium skin tone, medium-dark skin tone|love|medium skin tone|medium-dark skin tone|woman
	👩🏽‍❤️‍👩🏿;couple with heart: woman, woman, medium skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium skin tone, dark skin tone|dark skin tone|love|medium skin tone|woman
	👩🏾‍❤️‍👩🏻;couple with heart: woman, woman, medium-dark skin tone, light skin tone;couple|couple with heart|couple with heart: woman, woman, medium-dark skin tone, light skin tone|light skin tone|love|medium-dark skin tone|woman
	👩🏾‍❤️‍👩🏼;couple with heart: woman, woman, medium-dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, woman, medium-dark skin tone, medium-light skin tone|love|medium-dark skin tone|medium-light skin tone|woman
	👩🏾‍❤️‍👩🏽;couple with heart: woman, woman, medium-dark skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, woman, medium-dark skin tone, medium skin tone|love|medium skin tone|medium-dark skin tone|woman
	👩🏾‍❤️‍👩🏾;couple with heart: woman, woman, medium-dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium-dark skin tone|love|medium-dark skin tone|woman
	👩🏾‍❤️‍👩🏿;couple with heart: woman, woman, medium-dark skin tone, dark skin tone;couple|couple with heart|couple with heart: woman, woman, medium-dark skin tone, dark skin tone|dark skin tone|love|medium-dark skin tone|woman
	👩🏿‍❤️‍👩🏻;couple with heart: woman, woman, dark skin tone, light skin tone;couple|couple with heart|couple with heart: woman, woman, dark skin tone, light skin tone|dark skin tone|light skin tone|love|woman
	👩🏿‍❤️‍👩🏼;couple with heart: woman, woman, dark skin tone, medium-light skin tone;couple|couple with heart|couple with heart: woman, woman, dark skin tone, medium-light skin tone|dark skin tone|love|medium-light skin tone|woman
	👩🏿‍❤️‍👩🏽;couple with heart: woman, woman, dark skin tone, medium skin tone;couple|couple with heart|couple with heart: woman, woman, dark skin tone, medium skin tone|dark skin tone|love|medium skin tone|woman
	👩🏿‍❤️‍👩🏾;couple with heart: woman, woman, dark skin tone, medium-dark skin tone;couple|couple with heart|couple with heart: woman, woman, dark skin tone, medium-dark skin tone|dark skin tone|love|medium-dark skin tone|woman
