# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
👟;Sportschuh;Schuh|Sneaker|sportlich|Sportschuh
🥾;Wanderstiefel;Camping|Wandern|Wanderstiefel|Wanderung
🥿;flacher Schuh;Ballet-Pumps|flacher Schuh|Slipper
👠;Stöckelschuh;Absatzschuh|Damen|Highheels|Pumps|Stöckelschuh
👡;Damensandale;Damen|Damensandale|Sandale|Schuh
🩰;Ballettschuhe;Ballett|Ballettschuhe|Tanz
👢;Damenstiefel;Damen|Damenstiefel|Schuh|Stiefel
🪮;;Afro|Haare|Haarkamm|Kamm
👑;Krone;König|Königin|Krone
👒;Damenhut;Damenhut|Damenhut mit Schleife|Hut|Kopfbedeckung|Schleife
🎩;Zylinder;Hut|Kopfbedeckung|Zylinder|Zylinderhut
🎓;Doktorhut;Abschlussfeier|Doktorhut
🧢;Baseballmütze;Baseballkappe|Baseballmütze|Schirmkappe
🪖;Militärhelm;Helm|Kämpfer|Kämpferin|Militär|Militärhelm|Soldat|Soldatin
⛑️;Rettungshelm;bergen|Helm|Helm mit weißem Kreuz|Hilfe|retten|Rettungshelm
📿;Gebetskette;Gebet|Gebetskette|Kette|Religion|Rosenkranz
💄;Lippenstift;Kosmetik|Lippenstift|Make-up|Schminke
💍;Ring;Diamantring|Edelstein|Ring|Schmuck|Verlobung
💎;Edelstein;Diamant|Edelstein
🔇;durchgestrichener Lautsprecher;durchgestrichener Lautsprecher|stummgeschaltet
🔈;Lautsprecher mit geringer Lautstärke;eingeschaltet|Lautsprecher mit geringer Lautstärke
🔉;Lautsprecher mit mittlerer Lautstärke;Lautsprecher mit mittlerer Lautstärke|mittellaut
🔊;Lautsprecher mit hoher Lautstärke;laut|Lautsprecher mit hoher Lautstärke
📢;Lautsprecher;Lautsprecher
📣;Megafon;Jubel|Lautsprecher|Megafon
📯;Posthorn;Brief|E-Mail|Post|Posthorn
🔔;Glocke;Glocke|Ton eingeschaltet
🔕;durchgestrichene Glocke;durchgestrichene Glocke|Ton ausgeschaltet
🎼;Notenschlüssel;Musik|Noten|Notenschlüssel|Partitur|Violinschlüssel
🎵;Musiknote;Musik|Musiknote|Note
🎶;Musiknoten;Musik|Musiknoten|Noten
🎙️;Studiomikrofon;Mikrofon|Studiomikrofon
🎚️;Schieberegler;Musik|Schieberegler
🎛️;Drehregler;Bedienknöpfe|Drehregler|Stellknöpfe
🎤;Mikrofon;Karaoke|Mikrofon|Singen|Unterhaltung
🎧;Kopfhörer;Kopfhörer|Musik|Unterhaltung
📻;Radio;Musik|Radio
🎷;Saxofon;Instrument|Musik|Musikinstrument|Saxofon
🪗;Akkordeon;Akkordeon|Akkordeons|Concertina|Quetschkommode|Quetschkommoden|Ziehharmonika|Ziehharmonikas
🎸;Gitarre;Gitarre|Instrument|Musik|Musikinstrument
🎹;Klaviatur;Instrument|Klaviatur|Musik|Musikinstrument|Tastatur|Tasten
🎺;Trompete;Instrument|Musik|Musikinstrument|Trompete
🎻;Geige;Geige|Instrument|Musik|Musikinstrument
🪕;Banjo;Banjo|Musik|Streichinstrument
🥁;Trommel;Trommel|Trommelstöcke
🪘;afrikanische Trommel;afrikanische Trommel|Conga|Rhythmus
🪇;Maracas;Instrument|Maracas|Musik|Percussion|Rassel
🪈;Flöte;Flöte|Instrument|Musik
📱;Mobiltelefon;Handy|Mobiltelefon|Smartphone
📲;Mobiltelefon mit Pfeil;Anruf|Mobiltelefon|Mobiltelefon mit Pfeil|Pfeil
☎️;Telefon;Festnetz|Telefon
📞;Telefonhörer;anrufen|Hörer|Telefon|Telefonhörer
📟;Pager;Pager
📠;Faxgerät;Fax|Faxgerät
🔋;Batterie;Akku|Batterie
🪫;schwache Batterie;Akku|Batterie|Elektronik|niedriger Akkustand|schwache Batterie|schwacher Akku
🔌;Netzstecker;Netzstecker|Stecker|Stromstecker
💻;Laptop;Computer|Laptop|Notebook|PC
🖥️;Desktopcomputer;Bildschirm|Desktop|Desktopcomputer|Monitor
🖨️;Drucker;Computer|Drucker
⌨️;Tastatur;Computer|Tastatur
🖱️;Computermaus;Computer|Computermaus
🖲️;Trackball;Computer|Trackball
💽;Minidisc;MD|Minidisc
💾;Diskette;Datenträger|Diskette
💿;CD;Blu-Ray|CD|DVD
📀;DVD;CD|DVD
🧮;Abakus;Abaki|Abakus|Abakusse|Rechenhilfe|Rechenschieber
🎥;Filmkamera;Film|Filmkamera|Kino|Unterhaltung
🎞️;Filmstreifen;Film|Filmband|Filmstreifen|Kino
📽️;Filmprojektor;Filmprojektor|Kino|Unterhaltung
🎬;Filmklappe;Film|Filmklappe|Klappe|Unterhaltung
📺;Fernseher;Fernseher|Film|TV
📷;Fotoapparat;Fotoapparat|Fotos|Kamera
📸;Fotoapparat mit Blitz;Blitz|Fotoapparat|Fotoapparat mit Blitz
📹;Videokamera;Videokamera|Videos
📼;Videokassette;Video|Videokassette
🔍;Lupe nach links;Lupe nach links|Suche|Vergrößerungsglas
🔎;Lupe nach rechts;Lupe nach rechts|Suche|Vergrößerungsglas
🕯️;Kerze;Kerze|Licht
💡;Glühbirne;Glühbirne|Idee|Licht
🔦;Taschenlampe;Lampe|Licht|Taschenlampe
🏮;rote Papierlaterne;Izakaya|japanisches Lokal|rote Papierlaterne
🪔;Öllampe;Diya|Lampe|Öl|Öllampe
📔;Notizbuch mit dekorativem Einband;Einband|Notizbuch|Notizbuch mit dekorativem Einband
📕;geschlossenes Buch;Buch|geschlossen|geschlossenes Buch
📖;offenes Buch;Buch|geöffnet|offen|offenes Buch
📗;grünes Buch;Buch|grün|grünes Buch
📘;blaues Buch;blau|blaues Buch|Buch
📙;orangefarbenes Buch;Buch|orangefarben|orangefarbenes Buch
📚;Bücherstapel;Bücher|Bücherstapel
📓;Notizbuch;Notizbuch|Notizen
📒;Spiralblock;Notizblock|Spiralblock
📃;teilweise eingerolltes Blatt;Dokument|Papier|Seite|teilweise eingerolltes Blatt
📜;Schriftrolle;Papier|Schriftrolle
📄;Vorderseite eines Blattes;Dokument|Papier|Seite|Vorderseite eines Blattes
📰;Zeitung;Nachrichten|Zeitung
🗞️;zusammengerollte Zeitung;Zeitung|zusammengerollt|zusammengerollte Zeitung
📑;Pagemarker;Notizen|Pagemarker
🔖;Lesezeichen;Lesen|Lesezeichen
🏷️;Etikett;Etikett|Label|Marke
💰;Geldsack;Geld|Geldsack|Sack
🪙;Münze;Geld|Gold|Metall|Münze|Schatz|Silber
💴;Yen-Banknote;Geld|Geldschein|Yen|Yen-Banknote
💵;Dollar-Banknote;Dollar|Dollar-Banknote|Geld|Geldschein
💶;Euro-Banknote;Euro|Euro-Banknote|Euroschein|Geld|Geldschein
💷;Pfund-Banknote;Geld|Geldschein|Pfund|Pfund-Banknote
💸;Geldschein mit Flügeln;Bank|Geld|Geldschein mit Flügeln
💳;Kreditkarte;Guthaben|Karte|Kreditkarte
🧾;Beleg;Beleg|Belege|Buchhaltung|Rechnung|Rechnungslegung
💹;steigende Kurve mit Yen-Zeichen;Diagramm|Markt|steigende Kurve mit Yen-Zeichen
✉️;Briefumschlag;Brief|Briefumschlag|E-Mail
📧;E-Mail;Brief|E-Mail|E-Mail-Symbol
📨;eingehender Briefumschlag;E-Mail|eingehender Briefumschlag|empfangen
📩;Umschlag mit Pfeil;E-Mail|gesendet|Umschlag mit Pfeil
📤;Postausgang;Ablage|Postausgang
📥;Posteingang;Ablage|Posteingang
📦;Paket;Päckchen|Paket
📫;geschlossener Briefkasten mit Post;Briefkasten|E-Mail|geschlossen|geschlossener Briefkasten mit Post|Post
📪;geschlossener Briefkasten ohne Post;Briefkasten|geschlossen|geschlossener Briefkasten ohne Post|keine E-Mail|keine Post|Post
📬;offener Briefkasten mit Post;Briefkasten|E-Mail|offen|offener Briefkasten mit Post|Post
📭;offener Briefkasten ohne Post;Briefkasten|keine E-Mail|keine Post|offen|offener Briefkasten ohne Post|Post
📮;Briefkasten;Brief|Briefkasten
🗳️;Urne mit Wahlzettel;Urne|Urne mit Wahlzettel|Wahlzettel
✏️;Bleistift;Bleistift
✒️;schwarzer Federhalter;Federhalter|Füller|schwarz|schwarzer Federhalter|Stift
🖋️;Füllhalter;Füller|Füllfederhalter|Füllhalter
🖊️;Kugelschreiber;Kugelschreiber|Stift
🖌️;Pinsel;Kunst|malen|Pinsel
🖍️;Wachsmalstift;Buntstift|Wachsmalstift
📝;Papier und Bleistift;Bleistift|Kurzmitteilung|Nachricht|Papier|Papier und Bleistift
💼;Aktentasche;Aktentasche|Tasche
📁;Ordner;Dokument|geschlossen|Ordner
📂;geöffneter Ordner;Dokument|geöffneter Ordner|offen|Ordner
🗂️;Karteireiter;Büromaterial|Karteikarten|Karteireiter
📅;Kalender;Kalender|Kalenderblatt
📆;Abreißkalender;Abreißkalender|Kalender
🗒️;Notizblock;Block|Notizblock
🗓️;Spiralkalender;Kalender|Spiralkalender
📇;Rotationskartei;Rotationskartei|Visitenkarten
📈;Aufwärtstrend;Aufwärtstrend|Diagramm|Kurve|steigend
📉;Abwärtstrend;Abwärtstrend|Diagramm|fallend|Kurve
📊;Balkendiagramm;Balken|Balkendiagramm|Diagramm
📋;Klemmbrett;Clipboard|Klemmbrett|Zwischenablage
📌;Reißzwecke;anpinnen|Reißzwecke
📍;Stecknadel;anpinnen|Reißzwecke|rund|runde Reißzwecke|Stecknadel
📎;Büroklammer;Büroklammer
🖇️;verhakte Büroklammern;Büroklammer|Büroklammern|verhakt|verhakte Büroklammern
📏;Lineal;Lineal
📐;dreieckiges Lineal;dreieckiges Lineal|Geodreieck|Lineal
✂️;Schere;Schere
🗃️;Karteikasten;Büromaterial|Karteikasten
🗄️;Aktenschrank;Ablage|Aktenschrank|Archiv
🗑️;Papierkorb;Papierkorb
🔒;geschlossenes Schloss;Datenschutz|geschlossen|geschlossenes Schloss|Schloss|Sicherheit
🔓;offenes Schloss;nicht gesichert|offen|offenes Schloss|Schloss
🔏;Schloss mit Füller;Datenschutz|privat|Schloss mit Füller|Sicherheit
🔐;Schloss mit Schlüssel;Datenschutz|privat|Schloss mit Schlüssel|Sicherheit
🔑;Schlüssel;Passwort|Schlüssel
🗝️;alter Schlüssel;alt|alter Schlüssel|Schlüssel
🔨;Hammer;Hammer|Werkzeug
🪓;Axt;Axt|Beil|hacken|Holz|spalten
⛏️;Pickel;Pickel|Werkzeug
⚒️;Hammer und Pickel;Hammer|Hammer und Pickel|Pickel|Werkzeug
🛠️;Hammer und Schraubenschlüssel;Hammer|Hammer und Schraubenschlüssel|Schraubenschlüssel|Werkzeug
🗡️;Dolch;Dolch|Waffe
⚔️;gekreuzte Schwerter;gekreuzt|gekreuzte Schwerter|Schwerter
💣;Bombe;Bombe|Comic
🪃;Bumerang;Boomerang|Bumerang
🏹;Pfeil und Bogen;Bogen|Pfeil|Pfeil und Bogen
🛡️;Schutzschild;Schild|Schutzschild
🪚;Handsäge;Handsäge|Holz|Säge|Tischler|Werkzeug
🔧;Schraubenschlüssel;Schraubenschlüssel|Werkzeug
🪛;Schraubenzieher;Schraube|Schraubendreher|Schraubenzieher|Werkzeug
🔩;Mutter und Schraube;Mutter und Schraube|Schraube
⚙️;Zahnrad;Werkzeug|Zahnrad
🗜️;Schraubzwinge;Schraubzwinge|Werkzeug
⚖️;Waage;Gerechtigkeit|Gewicht|Waage|Werkzeug|wiegen
🦯;Blindenstock;Barrierefreiheit|blind|Blindenstock
🔗;Linksymbol;Kettenglieder|Linksymbol|Verknüpfungssymbol|zwei Ringe
⛓️‍💥;gebrochene Kette;brechen|Freiheit|gebrochen|gebrochene Kette|Handschellen|Kette|zerbrechen
⛓️;Ketten;Eisen|Kette|Ketten
🪝;Haken;Angelhaken|Haken
🧰;Werkzeugkasten;Mechaniker|Werkzeug|Werkzeugkasten
🧲;Magnet;Anziehungskraft|Magnet|magnetisch
🪜;Leiter;klettern|Leiter|Sprosse|Stufe
⚗️;Destillierapparat;Destillierapparat|Werkzeug
🧪;Reagenzglas;Chemie|Experiment|Labor|Reagenzglas|Versuche
🧫;Petrischale;Bakterien|Bakterienkultur|Biologie|Petrischale
🧬;DNA;Biologie|DNA|Evolution|Genetik|Leben
🔬;Mikroskop;Labor|Mikroskop
🔭;Teleskop;Teleskop
📡;Satellitenschüssel;Antenne|Satellitenschüssel|Schüssel
💉;Spritze;Arzt|Injektion|Nadel|Spritze
🩸;Blutstropfen;Blutspende|Blutstropfen|Medizin|Menstruation
💊;Kapsel;Arzt|Kapsel|Medizin|Tabletten
🩹;Heftpflaster;Heftpflaster|Pflaster
🩼;Krücke;Behinderung|Gehhilfe|Gehstütze|Krücke|Schmerzen|Stock
🩺;Stethoskop;Arzt|Herz|Medizin|Stethoskop
🩻;Röntgenbild;Knochen|Medizin|Radiologie|Röntgen|Röntgenbild|Skelett
🚪;Tür;Eingang|geschlossen|Tür
🛗;Fahrstuhl;Aufzug|Fahrstuhl|Lift
🪞;Spiegel;Reflexion|Spiegel|Spiegelbild
🪟;Fenster;Aussicht|durchsichtig|Fenster|frische Luft|Öffnung|Rahmen
🛏️;Bett;Bett|Hotel|schlafen|Übernachtung
🛋️;Sofa und Lampe;Lampe|Sofa|Sofa und Lampe
🪑;Stuhl;sitzen|Stuhl
🚽;Toilette;Toilette|WC
🪠;Saugglocke;Saugglocke|Saugglocken|Toilette|verstopft
🚿;Dusche;Dusche
🛁;Badewanne;Bad|Badewanne|Badezimmer
🪤;Mausefalle;Falle|Mausefalle|Mäusefalle
🪒;Rasierer;rasieren|Rasierer|scharf
🧴;Creme;Creme|Feuchtigkeitscreme|Körpercreme|Shampoo|Sonnencreme
🧷;Sicherheitsnadel;Punk|Sicherheitsnadel|Windel
🧹;Besen;Besen|Fegen|Hexe|Kehren
🧺;Korb;Korb|Picknick|Wäsche
🧻;Küchenrolle;Klopapier|Küchenrolle|Papiertücher|Toilettenpapier
🪣;Eimer;Behälter|Bottich|Eimer|Kübel
🧼;Seife;Baden|säubern|Seife|Seifenschale
🫧;Blasen;Blasen|reinigen|Seife|Seifenblasen|unter Wasser|Wasserblasen
🪥;Zahnbürste;Badezimmer|Bürste|sauber|Zahnbürste|Zähne|Zahnhygiene
🧽;Schwamm;absorbieren|aufsaugen|porös|Schwamm
🧯;Feuerlöscher;Feuer|Feuerlöscher|löschen
🛒;Einkaufswagen;einkaufen|Einkaufswagen
🚬;Zigarette;Rauchen|Rauchersymbol|Zigarette
⚰️;Sarg;Beerdigung|Sarg|Tod|tot
🪦;Grabstein;Friedhof|Grab|Grabstein
⚱️;Urne;Beerdigung|Tod|tot|Urne
🧿;Nazar-Amulett;Glücksbringer|Nazar|Nazar-Amulett|Talisman
🪬;Hamsa;Amulett|Fatima|Glückssymbol|Hamsa|Maria|Miriam|Schutz
🗿;Statue;Gesicht|Maske|Osterinsel|Statue
🪧;Protestschild;Demonstration|Mahnwache|Plakat|Protest|Protestschild|Schild
🪪;Ausweis;Ausweis|Führerschein|Personalausweis|Plakette

[symbols]
🏧;Symbol „Geldautomat“;ATM|Symbol „Geldautomat“
🚮;Symbol „Papierkorb“;Müll|Sauberkeit|Symbol „Papierkorb“
🚰;Trinkwasser;Trinkwasser|Wasser
♿;Symbol „Rollstuhl“;barrierefrei|behindertengerecht|Symbol „Rollstuhl“
🚹;Herren;Herren|Herrentoilette
🚺;Damen;Damen|Damentoilette
🚻;Toiletten;Toilette|Toiletten|WC
🚼;Symbol „Baby“;Symbol „Baby“|Wickelraum
🚾;WC;Toilette|WC
🛂;Passkontrolle;Pass|Passkontrolle
🛃;Zollkontrolle;Zoll|Zollkontrolle
🛄;Gepäckausgabe;Gepäck|Gepäckausgabe
🛅;Gepäckaufbewahrung;Gepäck|Gepäckaufbewahrung|Schließfach
⚠️;Warnung;Dreieck|Warnung
🚸;Kinder überqueren die Straße;Kinder|Kinder überqueren die Straße|Vorsicht
⛔;Zutritt verboten;keine Durchfahrt|verboten|Zutritt verboten
🚫;Verboten;Verboten|Verbotszeichen
🚳;Fahrräder verboten;Fahrräder verboten|Radfahren verboten
🚭;Rauchverbot;Rauchen verboten|Rauchverbot
🚯;Abfall verboten;Abfall verboten|Müll|verboten
🚱;Kein Trinkwasser;Kein Trinkwasser|verboten|Wasser
🚷;Fußgänger verboten;Fußgänger verboten|verboten
📵;Mobiltelefone verboten;Mobiltelefon|Mobiltelefone verboten|Verbot
🔞;Minderjährige verboten;Erwachsene|Minderjährige verboten|Mindestalter|nicht jugendfrei
☢️;Radioaktiv;Radioaktiv
☣️;Biogefährdung;Biogefährdung|Zeichen
⬆️;Pfeil nach oben;aufwärts|Aufwärtspfeil|nach oben|Norden|Pfeil|Pfeil nach oben
↗️;Pfeil nach rechts oben;nach rechts oben|Nordosten|Pfeil|Pfeil nach rechts oben
➡️;Pfeil nach rechts;nach rechts|Osten|Pfeil|Pfeil nach rechts|Rechtspfeil
↘️;Pfeil nach rechts unten;nach rechts unten|Pfeil|Pfeil nach rechts unten|Südosten
⬇️;Pfeil nach unten;abwärts|Abwärtspfeil|nach unten|Pfeil|Pfeil nach unten|Süden
↙️;Pfeil nach links unten;nach links unten|Pfeil|Pfeil nach links unten
⬅️;Pfeil nach links;Linkspfeil|nach links|Pfeil|Pfeil nach links|Westen
↖️;Pfeil nach links oben;nach links oben|Nordwesten|Pfeil|Pfeil nach links oben
↕️;Pfeil nach oben und unten;entgegengesetzt|nach oben und unten|Pfeil|Pfeil nach oben und unten
↔️;Pfeil nach links und rechts;entgegengesetzt|nach links und rechts|Pfeil|Pfeil nach links und rechts
↩️;geschwungener Pfeil nach links;geschwungen|geschwungener Pfeil nach links|links|nach links|Pfeil
↪️;geschwungener Pfeil nach rechts;geschwungen|geschwungener Pfeil nach rechts|nach rechts|Pfeil|rechts
⤴️;geschwungener Pfeil nach oben;geschwungen|geschwungener Pfeil nach oben|nach oben|oben|Pfeil
⤵️;geschwungener Pfeil nach unten;geschwungen|geschwungener Pfeil nach unten|nach unten|Pfeil|unten
🔃;kreisförmige Pfeile im Uhrzeigersinn;im Uhrzeigersinn|kreisförmige Pfeile im Uhrzeigersinn|Pfeile
🔄;Pfeile gegen den Uhrzeigersinn;gegen den Uhrzeigersinn|kreisförmige Pfeile gegen den Uhrzeigersinn|Pfeile|Pfeile gegen den Uhrzeigersinn
🔙;BACK-Pfeil;BACK-Pfeil|links|Pfeil|zurück
🔚;END-Pfeil;END-Pfeil|links|Pfeil
🔛;ON!-Pfeil;ON!-Pfeil|Pfeil|rechts und links
🔜;SOON-Pfeil;Pfeil|rechts|SOON-Pfeil
🔝;TOP-Pfeil;Pfeil nach oben|TOP-Pfeil
🛐;religiöse Stätte;Religion|religiöse Stätte
⚛️;Atomzeichen;Atheist|Atom|Atomzeichen
🕉️;om;Hinduismus|om|Religion
✡️;Davidstern;Davidstern|jüdisch|Religion
☸️;Dharma-Rad;Buddhismus|Dharma|Dharma-Rad
☯️;Yin und Yang;Daoismus|Religion|Yang|Yin|Yin und Yang
✝️;lateinisches Kreuz;Christentum|Kreuz|lateinisch|lateinisches Kreuz|Religion
☦️;orthodoxes Kreuz;Christentum|Kreuz|Orthodox|orthodoxes Kreuz|Religion
☪️;Hilal und Stern;Hilal|Hilal und Stern|Islam|Religion|Stern
☮️;Friedenszeichen;Friedensbewegung|Friedenssymbol|Friedenszeichen
🕎;Menora;Leuchter|Menora|Religion
🔯;Hexagramm mit Punkt;Hexagramm mit Punkt|Wahrsager
🪯;Khanda;Khanda|Religion|Schwert|Sikhismus
♈;Widder (Sternzeichen);Sternzeichen|Widder|Widder (Sternzeichen)
♉;Stier (Sternzeichen);Sternzeichen|Stier|Stier (Sternzeichen)
♊;Zwillinge (Sternzeichen);Sternzeichen|Zwilling|Zwillinge|Zwillinge (Sternzeichen)
♋;Krebs (Sternzeichen);Krebs|Krebs (Sternzeichen)|Sternzeichen
♌;Löwe (Sternzeichen);Löwe|Löwe (Sternzeichen)|Sternzeichen
♍;Jungfrau (Sternzeichen);Jungfrau|Jungfrau (Sternzeichen)|Sternzeichen
♎;Waage (Sternzeichen);Sternzeichen|Waage|Waage (Sternzeichen)
♏;Skorpion (Sternzeichen);Skorpion|Skorpion (Sternzeichen)|Sternzeichen
♐;Schütze (Sternzeichen);Schütze|Schütze (Sternzeichen)|Sternzeichen
♑;Steinbock (Sternzeichen);Steinbock|Steinbock (Sternzeichen)|Sternzeichen
♒;Wassermann (Sternzeichen);Sternzeichen|Wassermann|Wassermann (Sternzeichen)
♓;Fische (Sternzeichen);Fische|Fische (Sternzeichen)|Sternzeichen
⛎;Schlangenträger;Schlangenträger|Sternbild
🔀;Zufallsmodus;gekreuzt|Pfeile|verschlungene Pfeile nach rechts|Zufallsmodus
🔁;Wiederholen;im Uhrzeigersinn|Pfeile|Wiederholen
🔂;Titel wiederholen;dasselbe wiederholen|im Uhrzeigersinn|noch einmal|Pfeile|Titel wiederholen|wiederholen
▶️;Wiedergabe;abspielen|Dreieck|Pfeil|rechts|Wiedergabe
⏩;Doppelpfeile nach rechts;Doppelpfeil|Doppelpfeile nach rechts|überspringen|vorwärts|weiter
⏭️;Nächster Titel;Doppelpfeil|Dreieck|Nächster Titel|vorwärts|weiter
⏯️;Wiedergabe oder Pause;Dreieck|Pause|Pfeil|rechts|Wiedergabe|Wiedergabe oder Pause
◀️;Pfeil zurück;Dreieck|links|Pfeil|zurück
⏪;Zurückspulen;Doppelpfeil|Doppelpfeile nach links|Dreieck|Pfeil|vorheriger Titel|zurück|Zurückspulen
⏮️;Vorheriger Titel;Doppelpfeil|Dreieck|Pfeil|Vorheriger Titel|zurück
🔼;Aufwärts-Schaltfläche;aufwärts|Aufwärts-Schaltfläche|nach oben|Pfeil|Schaltfläche
⏫;Doppelpfeile nach oben;aufwärts|Doppelpfeil|Doppelpfeile nach oben|doppelt|nach oben|Pfeil
🔽;Abwärts-Schaltfläche;abwärts|Abwärts-Schaltfläche|nach unten|Pfeil|Schaltfläche
⏬;Doppelpfeile nach unten;Doppelpfeil|Doppelpfeile nach unten|doppelt abwärts|nach unten|Pfeil
⏸️;Pause;Pause|Streifen|vertikal
⏹️;Stopp;Aufnahme stoppen|Quadrat|Stopp
⏺️;Aufnehmen;Aufnahme|Aufnehmen|Kreis
⏏️;Auswerfen;Auswerfen|Auswurf|Auswurftaste|Medien
🎦;Kinosymbol;Film|Filmkamera|Kino|Kinosymbol|Unterhaltung
🔅;Taste Dimmen;dimmen|gedimmt|Helligkeit|schwache Helligkeit|Taste Dimmen
🔆;Heller-Taste;Heller-Taste|Helligkeit|starke Helligkeit
📶;balkenförmige Signalstärkenanzeige;balkenförmige Signalstärkenanzeige|Empfang|Mobilfunksignal|Mobiltelefon|Signalstärke
🛜;WLAN;Computer|drahtlos|Internet|kabellos|Netzwerk|WLAN
📳;Vibrationsmodus;Mobiltelefon|Vibration|Vibrationsmodus
📴;Mobiltelefon aus;ausschalten|Handy aus|Mobiltelefon|Mobiltelefon aus
♀️;Frauensymbol;Frau|Frauensymbol|weiblich|Zeichen
♂️;Männersymbol;Mann|Männersymbol|Symbol|Zeichen
⚧️;Transgender-Symbol;Symbol für Transgender|Transgender|Transgender-Symbol
✖️;mal;×|abbrechen|mal|Multiplikation|Multiplikationszeichen|multiplizieren|x
➕;plus;+|Plus|Pluszeichen
➖;minus;-|−|Minus|Minuszeichen
➗;geteilt durch;÷|Division|geteilt durch|Geteiltzeichen
🟰;Gleichheitszeichen extrafett;gleich|Gleichheit|Gleichheitszeichen extrafett|Mathematik
♾️;Unendlichkeit;ewig|grenzenlos|unendlich|Unendlichkeit
‼️;doppeltes Ausrufezeichen;Ausrufezeichen|doppelt|doppeltes Ausrufezeichen|rot|Satzzeichen
⁉️;Ausrufe- und Fragezeichen;Ausrufe- und Fragezeichen|Ausrufezeichen|Fragezeichen|rot|Satzzeichen
❓;rotes Fragezeichen;Fragezeichen|rot|rotes Fragezeichen|Satzzeichen
❔;weißes Fragezeichen;Satzzeichen|weiß|weißes Fragezeichen
❕;weißes Ausrufezeichen;Satzzeichen|weiß|weißes Ausrufezeichen
❗;rotes Ausrufezeichen;Ausrufezeichen|rot|rotes Ausrufezeichen|Satzzeichen
〰️;Wellenlinie;gewellt|Linie|Wellenlinie
💱;Geldwechsel;Geld|Geldwechsel|Währung|Wechsel
💲;Dollarzeichen extrafett;Dollar|Dollarzeichen extrafett|Geld|Währung
⚕️;Äskulapstab;Apotheke|Asklepiosstab|Äskulapstab|Medizin
♻️;Recycling-Symbol;Recycling|Recycling-Symbol
⚜️;Lilie;Fleur-de-Lis|Lilie
🔱;Dreizack;Anker|Dreizack|Triton
📛;Namensschild;Namensschild|Schild
🔰;japanisches Anfänger-Zeichen;Anfänger|japanisches Anfänger-Zeichen|japanisches Symbol
⭕;hohler roter Kreis;großer Kreis|hohler roter Kreis|Kreis|o|rot
✅;weißes Häkchen;abgehakt|erledigt|weißes Häkchen
☑️;abgehaktes Kästchen;✓|abgehaktes Kästchen|Feld|Kästchen|Kästchen mit Häkchen
✔️;kräftiges Häkchen;abhaken|erledigt|Häkchen|kräftiges Häkchen
❌;Kreuzzeichen;abbrechen|durchgestrichen|Kreuzzeichen|Multiplikation|multiplizieren|x
❎;angekreuztes Kästchen;angekreuztes Feld|angekreuztes Kästchen|Feld|Kreuz|Quadrat|X
➰;Schleife;Schleife
➿;Doppelschleife;Doppelschleife|Rechteck|Schleife
〽️;Teilalternationszeichen;japanisch|Teilalternationszeichen|Zeichensetzung
✳️;achtzackiger Stern;*|achtzackig|achtzackiger Stern|Stern
✴️;achtstrahliger Stern;*|achtstrahliger Stern|Stern
❇️;Funkeln;*|Funkeln
©️;Copyright;C|Copyright
®️;Registered-Trademark;Markenzeichen|R|Registered-Trademark
™️;Markenzeichen;Markenzeichen|TM|Trademark
#️⃣;Taste: #;Taste|Taste: #
*️⃣;Taste: *;Taste|Taste: *
0️⃣;Taste: 0;Taste|Taste: 0
1️⃣;Taste: 1;Taste|Taste: 1
2️⃣;Taste: 2;Taste|Taste: 2
3️⃣;Taste: 3;Taste|Taste: 3
4️⃣;Taste: 4;Taste|Taste: 4
5️⃣;Taste: 5;Taste|Taste: 5
6️⃣;Taste: 6;Taste|Taste: 6
7️⃣;Taste: 7;Taste|Taste: 7
8️⃣;Taste: 8;Taste|Taste: 8
9️⃣;Taste: 9;Taste|Taste: 9
🔟;Taste: 10;Taste|Taste: 10
🔠;Eingabesymbol lateinische Großbuchstaben;Eingabesymbol lateinische Großbuchstaben|Großbuchstaben|lateinische Großbuchstaben
🔡;Eingabesymbol lateinische Kleinbuchstaben;Eingabesymbol lateinische Kleinbuchstaben|Kleinbuchstaben|lateinische Kleinbuchstaben
🔢;Eingabesymbol Zahlen;Eingabesymbol Zahlen|Zahlen
🔣;Eingabesymbol Sonderzeichen;Eingabesymbol Sonderzeichen|Sonderzeichen
🔤;Eingabesymbol lateinische Buchstaben;Buchstaben|Eingabesymbol lateinische Buchstaben|lateinische Buchstaben
🅰️;Großbuchstabe A in rotem Quadrat;a|Blut|Blutgruppe|Großbuchstabe A in rotem Quadrat|negativ|positiv
🆎;Großbuchstaben AB in rotem Quadrat;ab|Blut|Blutgruppe|Großbuchstaben AB in rotem Quadrat|negativ|positiv
🅱️;Großbuchstabe B in rotem Quadrat;b|Blut|Blutgruppe|Großbuchstabe B in rotem Quadrat|negativ|positiv
🆑;Großbuchstaben CL in rotem Quadrat;CL|Großbuchstaben CL in rotem Quadrat
🆒;Wort „Cool“ in blauem Quadrat;Cool|Wort „Cool“ in blauem Quadrat
🆓;Wort „Free“ in blauem Quadrat;Free|Wort „Free“ in blauem Quadrat
ℹ️;Buchstabe „i“ in blauem Quadrat;Buchstabe „i“ in blauem Quadrat|i|Information
